date,sector_index,close
2024-03-01,IMAT,6015.78
2024-04-01,IMAT,5704.06
2024-05-01,IMAT,5483.6500000000005
2024-06-01,IMAT,5666.969999999999
2024-07-01,IMAT,5532.75
2024-08-01,IMAT,5591.4
2024-09-01,IMAT,5799.33
2024-10-01,IMAT,5753.59
2024-11-01,IMAT,5874.1
2024-12-01,IMAT,5527.17
2019-12-01,IMOB,1388.86
2020-01-01,IMOB,1442.44
2020-02-01,IMOB,1289.77
2020-03-01,IMOB,757.48
2020-04-01,IMOB,814.22
2020-05-01,IMOB,822.57
2020-06-01,IMOB,975.25
2020-07-01,IMOB,1045.54
2020-08-01,IMOB,962.8
2020-09-01,IMOB,885.71
2020-10-01,IMOB,863.71
2020-11-01,IMOB,1005.9499999999999
2020-12-01,IMOB,1051.82
2021-01-01,IMOB,977.92
2021-02-01,IMOB,879.07
2021-03-01,IMOB,964.6700000000001
2021-04-01,IMOB,945.2
2021-05-01,IMOB,1012.65
2021-06-01,IMOB,978.71
2021-07-01,IMOB,919.7
2021-08-01,IMOB,842.74
2021-09-01,IMOB,753.55
2021-10-01,IMOB,661.56
2021-11-01,IMOB,680.49
2021-12-01,IMOB,724.26
2022-01-01,IMOB,798.74
2022-02-01,IMOB,743.3
2022-03-01,IMOB,785.8199999999999
2022-04-01,IMOB,733.76
2022-05-01,IMOB,700.98
2022-06-01,IMOB,615.98
2022-07-01,IMOB,669.75
2022-08-01,IMOB,716.6700000000001
2022-09-01,IMOB,805.57
2022-10-01,IMOB,823.04
2022-11-01,IMOB,686.6700000000001
2022-12-01,IMOB,659.41
2023-01-01,IMOB,705.92
2023-02-01,IMOB,673.1700000000001
2023-03-01,IMOB,668.31
2023-04-01,IMOB,714.05
2023-05-01,IMOB,836.21
2023-06-01,IMOB,916.6800000000001
2023-07-01,IMOB,963.8599999999999
2023-08-01,IMOB,890.16
2023-09-01,IMOB,862.1800000000001
2023-10-01,IMOB,809.66
2023-11-01,IMOB,929.88
2023-12-01,IMOB,1010.65
2024-01-01,IMOB,925.1800000000001
2024-02-01,IMOB,936.91
2024-03-01,IMOB,947.23
2024-04-01,IMOB,837.76
2024-05-01,IMOB,831.63
2024-06-01,IMOB,840.4499999999999
2024-07-01,IMOB,880.9599999999999
2024-08-01,IMOB,932.66
2024-09-01,IMOB,904.93
2024-10-01,IMOB,935.72
2024-11-01,IMOB,837.43
2024-12-01,IMOB,758.4499999999999
2019-12-01,INDX,21187.16
